"//Set of 6 Gold Standards described in Torvik VI, Smalheiser NR. A quantitative model for linking two disparate sets of articles in Medline. Bioinformatics 2007; 23(13): 1658-1665. This paper has supplemental files. http://dx.doi.org/10.1093/bioinformatics/btm161",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"//target is written as -2 = negative, -1 = unknown, 0 = target, 1= fragment of target, 2 = adjective of target, 3 = target but too general to be useful",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"//some missing values annotated by 99999 (MeSH), 0.9999 (cohesion), or 9999 (year)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrowsmith search,A-lit size,C-lit size,B-term,target,nA,nC,nof MeSH in common,nof semantic categories,cohesion score,n in MEDLINE,1st year in MEDLINE,pAC,on medium stoplist?,on long stoplist?,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,higher,-1,1,1,99999,2,0.0630961,10284,1913,0.211760402,0,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,hippocampal,-1,4,17,7,3,0.186857,15219,1950,0,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,hippocampal neuron,-1,3,4,4,1,0.249485,2177,1961,1.09E-09,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,hippocampal slice,-1,1,4,2,0,0.247439,2129,1971,1.26E-06,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,hiv,-1,3,1,4,2,0.174499,52124,1977,0.630480552,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,homeostasis,-1,1,1,99999,1,0.114875,5814,1950,0.085509487,0,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,homolog,-1,1,4,3,2,0.187306,3675,1952,1.74E-05,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,human,-1,30,8,12,2,0.0773819,575385,1902,0.938570853,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,hypoxia,0,28,2,8,1,0.140046,16815,1949,0,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,identification,-1,3,26,4,1,0.101304,84876,1949,5.42E-10,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,identification a,-1,1,6,1,1,0.13749,10676,1950,4.03E-05,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,imaging,-1,1,1,0,1,0.152416,62969,1958,0.967100785,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,immature,-1,1,1,99999,1,0.103864,7196,1938,0.121749433,0,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,immunocytochemical,-1,1,2,2,1,0.159829,7338,1958,0.024253309,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,immunoreactivity,-1,1,1,0,1,0.144383,9253,1968,0.180794378,0,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,impair,-1,3,1,99999,0,0.0757956,3688,1944,0.000290842,0,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,impaired,-1,2,2,2,0,0.063387,15910,1949,0.045687704,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,impairment,-1,7,2,0,2,0.0868955,14743,1949,5.84E-06,0,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,implication,-1,16,3,4,0,0.0471165,58938,1949,1.08E-06,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,inactivation,-1,2,1,1,1,0.0815503,15491,1949,0.140737626,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,increase,-1,12,7,4,1,0.0722048,46627,1913,3.30E-08,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,increase tyrosine,-1,1,1,0,4,0.169302,97,1964,3.25E-05,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,increased,-1,10,4,5,1,0.0580618,46557,1913,5.54E-05,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,independent,-1,11,5,4,1,0.0772338,23120,1950,2.82E-10,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,induce,-1,29,7,11,0,0.0996722,31904,1943,0,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,induce a,-1,3,2,2,0,0.0781877,1815,1951,5.81E-07,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,induced,-1,122,15,60,1,0.0684212,283340,1936,0,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,induced change,-1,1,1,0,0,0.0697075,5450,1949,0.076609769,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,induced expression,-1,2,1,1,1,0.133731,1028,1968,9.82E-05,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,induction,-1,12,1,2,0,0.0883509,64462,1924,0.003667788,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,infection,-1,3,1,1,2,0.0853957,209383,1928,0.999971996,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,influence,-1,6,2,1,0,0.0550672,126801,1936,0.826394258,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,influence chronic,-1,1,1,1,1,0.0997592,361,1951,0.000443342,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,inhibit,-1,35,2,9,0,0.09434,32210,1937,0,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,inhibition,-1,58,5,23,2,0.0739009,102082,1946,0,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,inhibitory,-1,4,4,0,1,0.0821618,26333,1940,0.001944589,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,injury,-1,21,2,5,1,0.0950022,113125,1949,0.000129707,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,injury induced,-1,1,1,0,1,0.110741,1018,1951,0.003399758,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,inner,-1,1,1,0,1,0.0951939,8920,1949,0.170943188,0,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,insulin,-1,4,4,9,5,0.177874,81948,1949,0.375607587,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,intact,-1,2,1,0,1,0.0688574,14028,1949,0.113807687,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,integration,-2,1,1,0,2,0.0753639,10442,1950,0.216553552,0,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,interact,-1,1,20,4,0,0.168406,5503,1962,0,0,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,interaction,-2,14,51,28,2,0.0847586,106622,1949,0,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,interaction nitric oxide,-1,4,1,1,4,0.155061,130,1975,1.23E-12,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,intermediate,-1,3,1,0,2,0.0810121,17288,1949,0.058381455,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,intracellular,-1,11,1,4,1,0.110165,30485,1924,1.47E-05,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,investigation,-1,2,1,0,2,0.0437758,57631,1916,0.8576083,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,involve,-1,1,1,1,0,0.100759,4319,1949,0.051119948,0,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,involved,-1,6,3,1,0,0.0888025,23825,1903,0.000224839,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,involvement,-1,18,6,8,1,0.0558503,39125,1949,1.47E-13,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,ischemia,0,14,23,19,1,0.169586,29480,1949,0,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,ischemic,2,6,1,6,2,0.161119,27961,1949,0.009986439,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,ischemic brain,0,1,1,2,4,0.211605,904,1962,0.002697868,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,isoflurane,-1,1,1,3,2,0.260775,3064,1973,0.0275349,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,isoform,-1,1,10,1,2,0.163999,10968,1970,4.03E-09,0,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,isolated,-1,13,23,10,1,0.0897653,91759,1949,1.02E-13,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,isolated rat,-1,2,5,1,0,0.158812,8764,1949,1.16E-05,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,k channel,0,2,9,12,2,0.20249,4832,1966,7.80E-13,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,kappab,-1,2,1,2,0,0.186482,4004,1989,0.004828061,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,key,-1,4,2,99999,0,0.045268,9337,1950,0.000158775,0,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,kidney,-1,2,1,2,1,0.131955,79468,1939,0.960647656,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,kinase,0,9,83,34,3,0.17072,68691,1951,0,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,kinase activation,0,1,1,4,3,0.197194,1165,1968,0.004416572,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,kinase activity,0,1,1,1,5,0.150727,4303,1953,0.050785628,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,lack,-1,1,2,2,1,0.0537632,17050,1933,0.171485085,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,lacking,-1,1,1,0,0,0.102017,4501,1950,0.054978054,0,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,learning,-1,1,6,1,0,0.133587,28393,1949,0.01078644,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,leave,-2,1,1,1,1,0.123985,6513,1944,0.10339749,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,leukemic,-1,2,1,0,1,0.174344,7924,1949,0.029478202,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,leukemic cell,-1,1,1,0,1,0.193539,3081,1950,0.027815585,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,level,-1,8,2,2,1,0.05865,151538,1928,0.808000928,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,ligand,-1,3,4,1,2,0.121808,24473,1957,0.005021312,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,ligand binding,-1,1,2,1,2,0.19112,3201,1965,0.002591814,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,light,-1,2,1,0,2,0.0883029,48690,1949,0.770077875,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,link,-1,1,3,0,2,0.0643746,8842,1946,0.006858423,0,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,linked,-1,2,2,0,0,0.111336,25542,1950,0.166689489,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,lipid,-1,7,6,6,2,0.152782,68581,1936,0.0060365,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,liver,-1,21,1,3,2,0.114095,190873,1949,0.085143349,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,liver mitochondria,-1,7,1,1,1,0.177295,3919,1950,2.40E-09,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,localization,-1,1,21,4,1,0.108333,54814,1949,3.74E-09,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,located,-1,3,1,3,0,0.12274,3732,1949,0.000304088,0,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,long,-1,3,10,0,1,0.0771372,115845,1938,0.176631107,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,long term,-1,3,9,0,1,0.0914756,83875,1949,0.052813428,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,loss,-1,3,1,2,1,0.0596341,47590,1949,0.55965946,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,low,-1,5,2,0,1,0.0653201,99816,1913,0.723705569,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,major,-1,1,16,2,1,0.0701304,41829,1942,1.76E-07,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,major histocompatibility complex,-1,1,1,0,1,0.178717,4735,1972,0.060083074,0,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,male,-1,1,1,0,1,0.105859,54276,1913,0.939992578,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,malignant,-1,1,1,0,2,0.129234,74151,1938,0.985107807,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,mammalian,-1,7,3,1,1,0.123715,31669,1949,0.000420539,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,map,-1,4,1,0,3,0.144405,8070,1949,0.000656908,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,mapk,0,1,2,3,3,0.224467,1435,1991,0.00026047,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,marker,-1,1,2,2,2,0.0994965,39939,1950,0.646074048,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,matrix,-1,3,2,1,2,0.127779,23096,1949,0.046077752,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,maturation,-1,1,3,1,1,0.0938313,14447,1938,0.034087262,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,mechanism,-1,35,8,16,1,0.0613746,134290,1948,3.83E-13,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,mediate,-2,14,6,12,1,0.0960774,11815,1953,0,0,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,mediated,-1,42,18,31,0,0.0817479,64117,1950,0,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,mela,-1,2,1,1,1,0.264191,427,1955,7.31E-06,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,membrane,-1,13,25,16,2,0.103955,127669,1934,6.57E-11,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,membrane protein,-1,1,2,1,3,0.16408,8443,1952,0.034560577,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,metabolic,-1,3,1,0,1,0.099679,45458,1913,0.523925094,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,metabolism,-1,38,1,0,2,0.096257,127037,1913,1.54E-11,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,method,-1,1,2,0,2,0.0561987,224211,1902,0.999998502,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,mice,-1,9,8,5,1,0.108202,140740,1916,0.087084707,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,microscopy,-1,3,1,1,1,0.133837,27095,1949,0.192056227,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,mimic,-1,2,1,0,1,0.084963,2636,1952,0.001498737,0,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,mitochondria,0,109,1,6,1,0.171799,18408,1949,0,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,mitochondrial,-1,347,1,3,2,0.14865,32078,1949,0,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,mitogen,-1,1,3,2,2,0.210711,8126,1966,0.005125506,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,model,-1,2,3,1,2,0.0824661,140695,1949,0.990779313,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,modified,-1,1,2,0,0,0.057023,27339,1934,0.398055885,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,modulate,-1,5,3,3,0,0.0853577,11373,1969,6.97E-06,0,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,modulation,-1,21,8,9,1,0.075805,32533,1950,0,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,molecular,-1,6,10,10,1,0.119584,96865,1949,0.008885886,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,molecular mechanism,-1,2,2,0,2,0.0859381,4627,1955,0.000677382,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,molecule,-1,2,8,0,2,0.109334,27363,1950,0.000134165,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,morphine,-1,1,1,1,3,0.186824,16174,1949,0.389926002,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,morphometric study,-1,1,1,0,2,0.119456,1930,1963,0.011622365,0,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,mouse,-1,5,11,8,2,0.106154,111451,1935,0.028132664,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,mouse brain,-1,1,6,5,3,0.130745,3688,1949,3.92E-08,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,mptp,-1,1,1,0,2,0.299415,1413,1983,0.006408987,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,mrna,-1,3,4,5,3,0.168191,34378,1965,0.027121266,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,multiple,-1,2,4,2,1,0.0723685,87789,1949,0.737608666,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,murine,-1,10,2,7,3,0.134454,42563,1949,0.000324419,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,mutant,-1,1,3,0,2,0.120542,40675,1949,0.439205694,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,n terminal,-1,1,7,0,3,0.145681,5701,1953,4.22E-08,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,neonatal,-1,9,2,5,1,0.0902933,40857,1938,0.000817836,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,neonatal hypoxia,0,1,1,2,1,0.222116,111,1953,4.25E-05,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,neonatal rat,-1,1,1,1,2,0.165029,3848,1954,0.041622343,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,nerve,-1,1,4,0,3,0.122467,81848,1934,0.809867579,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,nervous system,-1,1,3,0,2,0.119872,37057,1949,0.37234637,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,neural,-1,4,2,0,1,0.111915,24337,1949,0.017582293,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,neurological,-1,2,1,1,1,0.114549,13454,1949,0.103833921,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,neurological disease,-1,1,1,1,1,0.124323,1385,1950,0.006166992,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,neuron,-1,19,16,33,1,0.145059,60139,1949,0,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,neuron rat,-1,1,3,0,2,0.181213,3087,1962,0.000148549,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,neuronal,-1,26,20,40,2,0.116773,24489,1950,0,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,neuronal cell,-1,4,2,8,2,0.160483,1925,1965,2.06E-08,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,neuronal cell death,0,3,1,7,2,0.219932,355,1978,3.11E-08,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,neuronal nitric oxide,0,4,4,1,3,0.19449,839,1991,1.33E-14,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,neurone,-1,2,1,2,1,0.166946,7905,1950,0.02930022,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,neuroprotective,2,2,1,99999,3,0.190233,1693,1953,0.000420937,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,neurotoxicity,0,2,2,11,1,0.155014,4183,1949,0.000465883,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,neurotransmitter,-1,1,1,1,2,0.178499,5586,1955,0.079899075,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,new,-1,2,4,3,1,0.0424612,300104,1925,0.999998607,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,nf kappab,0,1,1,1,1,0.189883,2797,1989,0.023280829,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,nitric,-1,525,10,71,1,0.192278,30288,1949,0,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,nitric oxide,0,524,10,71,2,0.192822,30051,1953,0,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,nitric oxide synthase,0,94,6,29,3,0.195322,9051,1990,0,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,nmda,0,6,56,22,3,0.224475,6127,1976,0,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,nmda induced,2,1,1,3,2,0.223211,239,1980,0.00019564,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,nmda receptor,0,2,51,10,3,0.22026,3986,1979,0,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,nnos,-1,1,1,1,0,0.182076,192,1992,0.000126589,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,non,-1,7,1,1,1,0.0692164,121673,1949,0.791888969,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,not,-1,19,5,8,0,0.058241,145400,1902,0.001662152,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,novel,-1,9,29,15,1,0.102314,73649,1949,0,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,nucleotide,-1,1,5,0,2,0.143769,33230,1949,0.062403443,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,number,-1,1,8,0,2,0.0544085,21339,1934,0.00010012,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,occur,-1,1,1,0,0,0.0691008,4594,1933,0.056987881,0,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,old,-1,1,1,0,1,0.0767651,50915,1913,0.924626892,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,opening,-1,7,1,2,1,0.0624235,4810,1933,1.16E-08,0,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,or,-1,12,4,5,0,0.046886,180513,1902,0.435960092,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,outer,-1,2,1,1,1,0.16059,8549,1949,0.035650678,0,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,overexpression,-1,5,1,3,1,0.141227,7034,1977,3.41E-05,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,oxide synthase brain,-1,1,1,1,3,0.236145,41,1992,5.82E-06,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,oxide synthase regulate,-1,1,1,1,1,0.167883,11,1993,4.20E-07,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,p38,-1,2,1,6,0,0.289351,2015,1953,0.000695666,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,palmitate,-1,1,1,1,1,0.183425,1129,1951,0.004156069,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,palmitoyl,-1,1,1,99999,0,0.150041,498,1951,0.000837314,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,parkinson disease,0,5,1,99999,1,0.16456,13196,1949,0.000965322,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,particle,-1,2,1,0,1,0.0874381,21800,1929,0.273741818,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,partitioning,-1,1,1,0,0,0.087104,1878,1951,0.011035923,0,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,pathology,-2,2,1,0,4,0.0671836,37022,1949,0.595474044,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,pathway,-1,26,4,17,1,0.0820827,49556,1949,2.22E-16,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,peptide,-1,2,9,1,2,0.128424,69740,1949,0.035277481,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,peripheral,-1,2,2,1,1,0.0803757,68138,1949,0.817558715,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,persistent,-1,4,2,2,1,0.0631097,14333,1902,0.001464095,0,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,phosphorylation,-1,5,36,22,1,0.144037,25806,1949,0,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,phosphorylation a,-1,1,2,0,1,0.177412,781,1949,4.37E-05,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,physiological,-1,4,1,1,1,0.0658555,28792,1928,0.095720721,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,physiology,-2,2,1,0,2,0.0596856,15712,1949,0.144977479,0,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,pig,-1,6,1,2,2,0.125628,47985,1936,0.110454783,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,plant,-2,7,1,0,1,0.116068,37386,1932,0.014580721,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,plasma,-1,1,4,1,1,0.0800286,131143,1949,0.984126062,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,platelet,-1,1,1,0,3,0.154482,53091,1949,0.934949994,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,pool,-2,1,2,1,1,0.0727302,6666,1950,0.018937055,0,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,porcine,-1,2,2,3,2,0.0857597,17533,1949,0.060815776,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,possible,-1,6,5,0,1,0.0492415,52697,1934,0.005601152,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,possible role,-2,5,1,0,2,0.0576563,7905,1950,6.47E-05,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,possibly,-1,1,1,2,1,0.0420052,1654,1949,0.008666126,0,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,post,-1,1,6,1,2,0.0549509,46970,1943,0.101840361,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,postischemic,2,3,1,0,0,0.174285,1470,1955,8.50E-06,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,potassium channel,0,1,8,2,2,0.182006,4265,1969,1.81E-10,0,0,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,potential,-1,16,8,8,2,0.090936,87608,1942,8.00E-07,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,potential role,-2,1,2,1,2,0.0652108,2869,1956,0.001904723,1,1,,,,,,,,,,,,,,
NO and mitochondria vs PSD,786,545,power,-2,1,1,0,1,0.0733317,15054,1936,0.356879113,0,1,,,,,,,,,,,,,,
